PID,Social Media Post,Normalized Claim
132,"important announcement coronavirus from someone who is graduated with a master's degree and who worked in shenzhen hospital guangdong province, china the following notes on coronavirus for guidance 1. if you have a runny nose and sputum, you have a common cold 2. coronavirus pneumonia is a dry cough with no runny nose. 3. this new virus is not heat resistant and will be killed by a temperature of just 26 27 degrees. it hates the sun. 4. if someone sneezes with it, it takes about 10 feet before it drops to the ground and is no longer airborne. 5. if it drops on a metal surface it will live for at least 12 hours so if you come into contact with any metal surface wash your hands as soon as you can with a bacterial soap. 6. on fabric it can survive for 6 12 hours. normal laundry detergent will kill it. 7. drinking warm water is effective for all viruses. try not to drink liquids with ice. 8. wash your hands frequently as the virus can only live on your hands for 5 10 minutes, but a lot can happen during that time you can rub your eyes, pick your nose unwittingly and so on. 9. you should also gargle as a prevention. a simple solution of salt in warm water will suffice. 10. cannot emphasise enough drink plenty of water! the symptoms 1. it will first infect the throat, so you will have a sore throat lasting 3 4 days 2. the virus then blends into a nasal fluid that enters the trachea and then the lungs, causing pneumonia. this takes about 5 6 days further. 3. with the pneumonia comes high fever and difficulty in breathing. 4. the nasal congestion is not like the normal kind. you feel like you are drowning. it is imperative you then seek immediate attention. spread the word please share.",the new virus is not heat resistant and will be killed by a temperature of 26 27 degrees. it hates the sun.
133,"first the health secretary says do not go to hospitals or clinics, now the tourism secretary says do not recreate. what next, the education governor saying no school this fall?","says the state health secretary says do not go to hospitals or clinics, now the tourism secretary says do not recreate."
134,look at the french they are going on general strike because retirement is going to 64. their energy bills are 40 of ours they retire 6 years earlier their pension is 3x higher their wages are 25 higher yet still they will strike. why are they better off? because they strike,french workers retire 6 years earlier.
135,"you forgot one thing, uses one language at a time. so you should not have typed the headline in english and the descriptions in swahili.",screengrab showing the uda party candidate in kiambaa constituency conceding defeat.
136,he has all the necessary scientific back up to support his claims,the covid 19 virus is not spread asymptomatically. only sick people give it to other people.
137,"here is a cheery friday fact. an average 22 year old male today has roughly the same testosterone levels as a 67 year old had in the year 2000. average testosterone has fallen close to 50 in the last 2 decades, and nobody is talking about it.",testosterone levels dropped by 50 in recent decades
138,monkeypox is vaccine aquired sic shingles covered up change my mind,monkeypox is vaccine acquired shingles .
139,in a burnol movement australian high commissioner meets chief dr mohan bhagwat and acknowledges the organisation,australian high commissioner meets rssorg chief dr mohan bhagwat and acknowledges the organisation's work in covid relief
141,trump stealing money from military families to pay for his border wall is nothing short of abhorrent.,"democrats target republicans, donald trump on military money used for wall a rundown of projects"
142,"edit jan 25 2023 they are no longer taking calls. now there is a prop 65 lead is on this list warning on their boxes for the lead. a dough hook had 2,434 ppm. kitchen aid recall not a joke attention anyone who has a kitchenaid mixer with a white paddle and hook attachments. stop using it immediately! it contains extreme amounts of lead!! the stainless steel is ok. you can call the kitchen aid number and they will replace it with a metal ones for free. 1 800 541 6390 or 1 800 474 8007. i did it it was super easy! give them the code on your mixer and they replace them. the calls takes less then 5 minutes.",kitchenaid is recalling a stand mixer because of 'extreme amounts of lead'
